Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto - Gestantes;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
250990 - Natuba;113,10%;80,95%;76,19%;109,52%;65,48%;78,57%;80,95%;114,29%;96,43%;84,52%;80,95%;100,00%;83,33%;78,57%;95,24%;102,38%;80,95%;77,38%;58,33%
251250 - Queimadas;102,77%;92,89%;96,44%;88,34%;75,30%;95,06%;93,08%;101,38%;97,04%;97,04%;93,08%;97,23%;96,64%;93,68%;99,01%;92,69%;96,64%;78,26%;38,14%
251278 - Riacho de Santo Antônio;88,89%;81,48%;114,81%;96,30%;81,48%;88,89%;81,48%;88,89%;85,19%;118,52%;81,48%;77,78%;122,22%;81,48%;118,52%;77,78%;111,11%;81,48%;70,37%
251315 - Santa Cecília;90,10%;92,08%;81,19%;87,13%;77,23%;83,17%;93,07%;90,10%;92,08%;84,16%;93,07%;83,17%;84,16%;93,07%;77,23%;82,18%;81,19%;79,21%;40,59%
251394 - São Domingos do Cariri;63,64%;93,94%;75,76%;75,76%;96,97%;78,79%;93,94%;57,58%;90,91%;93,94%;93,94%;84,85%;96,97%;93,94%;75,76%;81,82%;100,00%;66,67%;63,64%
251700 - Umbuzeiro;107,37%;115,79%;104,21%;109,47%;92,63%;108,42%;118,95%;106,32%;110,53%;123,16%;116,84%;107,37%;127,37%;114,74%;107,37%;105,26%;123,16%;92,63%;67,37%
Totais;84,23%;86,56%;76,94%;82,78%;65,87%;76,59%;86,04%;82,88%;86,28%;84,87%;86,54%;90,40%;84,39%;86,82%;79,51%;87,10%;82,43%;57,70%;34,77%
250135 - Assunção;91,11%;82,22%;108,89%;108,89%;68,89%;106,67%;84,44%;91,11%;88,89%;88,89%;80,00%;102,22%;91,11%;80,00%;108,89%;100,00%;91,11%;100,00%;73,33%
250215 - Boa Vista;81,54%;67,69%;83,08%;103,08%;61,54%;90,77%;69,23%;73,85%;76,92%;80,00%;67,69%;83,08%;81,54%;69,23%;86,15%;83,08%;83,08%;81,54%;49,23%
250400 - Campina Grande;80,37%;82,64%;69,84%;78,84%;58,32%;69,47%;81,90%;79,45%;82,66%;80,37%;82,68%;87,00%;79,41%;82,97%;73,28%;83,12%;76,55%;48,57%;29,44%
250610 - Fagundes;96,95%;95,42%;97,71%;80,92%;94,66%;95,42%;95,42%;93,89%;85,50%;97,71%;95,42%;86,26%;100,76%;94,66%;92,37%;83,21%;100,76%;87,79%;51,15%
250770 - Juazeirinho;93,86%;96,05%;95,18%;75,00%;84,21%;92,98%;96,05%;90,79%;95,61%;95,61%;96,05%;97,81%;101,32%;99,12%;96,93%;99,12%;102,63%;82,89%;46,93%
250850 - Livramento;115,79%;117,54%;152,63%;140,35%;142,11%;150,88%;117,54%;114,04%;117,54%;157,89%;117,54%;117,54%;156,14%;117,54%;140,35%;114,04%;159,65%;150,88%;57,89%
250920 - Massaranduba;100,76%;102,29%;104,58%;113,74%;88,55%;102,29%;102,29%;97,71%;106,87%;103,05%;101,53%;104,58%;103,05%;101,53%;101,53%;101,53%;103,05%;83,97%;44,27%
251050 - Olivedos;88,57%;120,00%;117,14%;100,00%;94,29%;114,29%;120,00%;85,71%;120,00%;111,43%;120,00%;120,00%;111,43%;117,14%;114,29%;117,14%;108,57%;105,71%;74,29%
251200 - Pocinhos;91,84%;99,49%;97,96%;85,71%;92,86%;100,51%;99,49%;88,27%;100,51%;95,92%;100,00%;107,65%;91,84%;100,00%;100,00%;106,12%;95,41%;81,12%;48,47%
251240 - Puxinanã;97,20%;124,48%;118,18%;96,50%;123,08%;121,68%;123,08%;95,10%;119,58%;124,48%;123,08%;123,08%;125,87%;123,08%;118,18%;121,68%;126,57%;97,20%;44,76%
251385 - Santo André;104,00%;56,00%;76,00%;116,00%;44,00%;76,00%;56,00%;100,00%;68,00%;56,00%;56,00%;80,00%;56,00%;56,00%;76,00%;80,00%;68,00%;76,00%;76,00%
251580 - Serra Redonda;73,49%;97,59%;87,95%;90,36%;93,98%;86,75%;100,00%;66,27%;93,98%;83,13%;97,59%;101,20%;85,54%;96,39%;81,93%;97,59%;83,13%;75,90%;44,58%
251610 - Soledade;100,00%;88,44%;80,27%;95,92%;68,03%;79,59%;88,44%;100,00%;83,67%;86,39%;88,44%;91,84%;88,44%;89,12%;82,31%;91,16%;85,71%;68,03%;54,42%
251650 - Taperoá;111,03%;104,83%;97,24%;116,55%;83,45%;96,55%;105,52%;110,34%;100,69%;98,62%;104,83%;99,31%;98,62%;103,45%;95,17%;97,24%;97,24%;88,97%;60,00%
251675 - Tenório;93,48%;86,96%;80,43%;56,52%;73,91%;76,09%;86,96%;93,48%;84,78%;84,78%;86,96%;84,78%;80,43%;86,96%;106,52%;82,61%;89,13%;58,70%;43,48%
;104,40%;79,67%;76,80%;70,79%;62,85%;74,34%;79,04%;103,82%;78,65%;83,74%;79,63%;82,89%;83,70%;79,68%;81,63%;79,84%;86,25%;58,29%;31,53%
Totais;100,33%;71,58%;68,20%;62,76%;51,52%;64,66%;70,65%;99,89%;70,06%;75,85%;71,51%;75,10%;75,75%;71,63%;74,97%;71,46%;79,92%;47,30%;26,68%
250060 - Alhandra;121,53%;96,88%;93,40%;69,10%;82,29%;87,15%;97,22%;120,49%;97,92%;106,25%;97,22%;100,00%;106,25%;97,57%;87,15%;94,79%;100,69%;74,65%;34,72%
250180 - Bayeux;94,89%;75,80%;77,80%;73,92%;55,05%;71,81%;76,25%;95,23%;73,14%;87,79%;75,69%;90,23%;88,90%;74,03%;82,91%;83,24%;80,69%;47,17%;22,53%
250300 - Caaporã;114,36%;121,29%;115,84%;100,00%;107,43%;113,86%;120,79%;111,88%;117,33%;130,20%;121,29%;123,27%;131,19%;117,33%;114,85%;117,33%;138,61%;99,50%;57,43%
250320 - Cabedelo;98,81%;79,56%;86,96%;84,74%;58,22%;80,89%;78,81%;100,44%;78,96%;88,30%;79,70%;81,63%;89,19%;78,52%;91,26%;76,15%;91,56%;55,70%;42,22%
250460 - Conde;105,69%;102,44%;97,29%;87,26%;85,09%;97,83%;102,17%;104,61%;99,73%;109,49%;102,17%;106,50%;107,86%;102,98%;102,17%;101,08%;109,21%;79,13%;29,27%
250490 - Cruz do Espírito Santo;136,65%;124,84%;131,68%;89,44%;124,84%;127,33%;124,22%;131,68%;129,19%;131,68%;124,84%;126,71%;131,68%;124,84%;126,71%;126,09%;124,84%;101,86%;50,31%
250750 - João Pessoa;88,40%;59,65%;55,71%;51,23%;40,41%;54,09%;58,20%;88,29%;57,86%;63,33%;59,56%;61,86%;62,76%;59,67%;65,06%;58,67%;69,56%;38,42%;23,03%
250860 - Lucena;147,02%;110,60%;99,34%;88,08%;82,12%;95,36%;110,60%;143,71%;103,97%;106,62%;110,60%;115,23%;103,31%;109,93%;107,28%;115,23%;123,84%;95,36%;41,06%
250910 - Mari;148,96%;115,10%;103,65%;107,81%;91,67%;98,96%;115,10%;150,00%;116,15%;111,46%;114,58%;119,27%;110,94%;113,02%;103,65%;116,67%;111,98%;83,33%;54,69%
251190 - Pitimbu;111,30%;114,69%;90,40%;84,18%;97,74%;83,62%;114,12%;110,73%;115,25%;102,26%;114,69%;110,73%;103,39%;115,25%;88,70%;104,52%;106,78%;72,32%;44,63%
251276 - Riachão do Poço;138,46%;135,90%;84,62%;138,46%;130,77%;92,31%;133,33%;141,03%;135,90%;128,21%;135,90%;125,64%;135,90%;135,90%;89,74%;128,21%;117,95%;74,36%;69,23%
251370 - Santa Rita;145,81%;82,39%;77,84%;77,41%;57,03%;64,91%;82,95%;143,75%;82,67%;85,16%;82,46%;87,86%;85,23%;84,45%;77,56%;86,79%;84,66%;46,02%;22,37%
251530 - Sapé;119,15%;112,53%;116,31%;92,20%;83,45%;111,11%;111,82%;115,60%;110,17%;114,66%;112,53%;122,22%;120,33%;114,66%;124,59%;110,17%;124,59%;80,38%;35,46%
251597 - Sobrado;170,83%;130,56%;119,44%;120,83%;98,61%;115,28%;131,94%;172,22%;127,78%;145,83%;129,17%;131,94%;147,22%;129,17%;122,22%;136,11%;143,06%;100,00%;66,67%
Totais;120,40%;97,27%;94,66%;90,60%;85,59%;94,57%;97,17%;120,10%;96,26%;98,83%;97,23%;98,31%;99,22%;97,33%;95,06%;96,94%;98,67%;82,30%;39,20%
250050 - Alagoinha;135,58%;96,93%;88,34%;77,91%;79,75%;88,34%;96,32%;136,20%;93,87%;92,02%;96,93%;93,25%;94,48%;96,32%;87,12%;91,41%;85,89%;63,80%;20,86%
250080 - Araçagi;117,24%;98,85%;84,48%;89,66%;77,59%;78,16%;98,85%;117,24%;98,28%;83,91%;98,85%;104,60%;87,36%;98,28%;89,66%;100,57%;90,23%;70,11%;24,14%
250100 - Araruna;118,58%;93,44%;85,79%;69,40%;82,51%;87,43%;93,99%;123,50%;98,36%;91,26%;93,99%;99,45%;92,90%;95,63%;96,72%;96,72%;95,08%;73,77%;42,62%
250150 - Bananeiras;110,38%;91,04%;107,55%;85,38%;84,91%;104,72%;89,62%;108,49%;87,74%;106,13%;90,57%;95,28%;105,66%;91,04%;109,43%;94,81%;103,30%;88,68%;33,49%
250190 - Belém;142,25%;97,18%;96,48%;100,00%;93,66%;98,59%;97,89%;140,85%;104,93%;102,11%;98,59%;103,52%;105,63%;95,77%;92,25%;100,70%;94,37%;85,21%;39,44%
250270 - Borborema;126,79%;75,00%;101,79%;103,57%;87,50%;103,57%;76,79%;125,00%;67,86%;94,64%;75,00%;89,29%;96,43%;76,79%;100,00%;89,29%;108,93%;96,43%;60,71%
250350 - Cacimba de Dentro;114,01%;92,36%;98,09%;92,36%;98,73%;105,73%;91,72%;112,10%;92,36%;121,02%;92,36%;92,99%;124,20%;95,54%;110,19%;92,99%;126,11%;88,54%;36,31%
250360 - Caiçara;115,25%;113,56%;106,78%;91,53%;84,75%;108,47%;113,56%;113,56%;94,92%;111,86%;113,56%;115,25%;115,25%;113,56%;110,17%;115,25%;110,17%;98,31%;61,02%
250415 - Casserengue;106,98%;72,09%;73,26%;86,05%;69,77%;69,77%;72,09%;104,65%;79,07%;70,93%;72,09%;76,74%;67,44%;69,77%;67,44%;80,23%;72,09%;68,60%;34,88%
250520 - Cuitegi;106,25%;89,58%;88,54%;80,21%;65,63%;94,79%;89,58%;103,13%;86,46%;88,54%;89,58%;87,50%;86,46%;87,50%;91,67%;86,46%;84,38%;71,88%;35,42%
250570 - Dona Inês;132,41%;96,30%;87,96%;109,26%;82,41%;89,81%;96,30%;133,33%;87,04%;98,15%;96,30%;87,96%;97,22%;96,30%;87,04%;87,04%;100,00%;87,96%;41,67%
250580 - Duas Estradas;135,48%;109,68%;125,81%;100,00%;100,00%;125,81%;109,68%;138,71%;103,23%;122,58%;109,68%;100,00%;119,35%;112,90%;119,35%;103,23%;112,90%;103,23%;74,19%
250630 - Guarabira;117,92%;90,35%;83,61%;90,66%;71,67%;83,61%;89,59%;117,92%;88,82%;87,60%;90,05%;92,50%;85,91%;90,81%;83,00%;90,05%;85,76%;71,67%;34,92%
250820 - Lagoa de Dentro;107,04%;97,18%;115,49%;92,96%;122,54%;118,31%;97,18%;107,04%;98,59%;119,72%;97,18%;102,82%;119,72%;97,18%;114,08%;102,82%;98,59%;94,37%;26,76%
250855 - Logradouro;113,64%;109,09%;113,64%;113,64%;95,45%;113,64%;109,09%;113,64%;127,27%;104,55%;109,09%;129,55%;102,27%;113,64%;106,82%;129,55%;109,09%;97,73%;38,64%
250980 - Mulungu;139,08%;120,69%;89,66%;70,11%;102,30%;89,66%;120,69%;139,08%;118,39%;105,75%;120,69%;116,09%;102,30%;118,39%;91,95%;116,09%;108,05%;86,21%;52,87%
251160 - Pilões;90,22%;104,35%;92,39%;105,43%;75,00%;86,96%;105,43%;85,87%;95,65%;95,65%;104,35%;100,00%;104,35%;98,91%;91,30%;94,57%;104,35%;53,26%;16,30%
251170 - Pilõezinhos;150,00%;138,00%;114,00%;92,00%;102,00%;110,00%;140,00%;152,00%;132,00%;120,00%;136,00%;138,00%;118,00%;138,00%;98,00%;134,00%;120,00%;114,00%;52,00%
251180 - Pirpirituba;135,24%;86,67%;92,38%;71,43%;77,14%;86,67%;86,67%;135,24%;90,48%;99,05%;86,67%;91,43%;97,14%;87,62%;89,52%;92,38%;98,10%;81,90%;28,57%
251274 - Riachão;111,11%;140,74%;100,00%;81,48%;125,93%;103,70%;140,74%;111,11%;148,15%;118,52%;140,74%;125,93%;118,52%;140,74%;107,41%;133,33%;125,93%;107,41%;66,67%
251560 - Serra da Raiz;112,50%;100,00%;116,67%;129,17%;125,00%;125,00%;100,00%;108,33%;100,00%;125,00%;100,00%;104,17%;120,83%;100,00%;120,83%;104,17%;133,33%;116,67%;58,33%
251590 - Serraria;113,51%;151,35%;194,59%;135,14%;167,57%;191,89%;151,35%;110,81%;137,84%;181,08%;151,35%;127,03%;178,38%;151,35%;202,70%;124,32%;186,49%;186,49%;64,86%
251593 - Sertãozinho;110,17%;118,64%;88,14%;100,00%;103,39%;86,44%;118,64%;108,47%;118,64%;105,08%;118,64%;105,08%;103,39%;116,95%;84,75%;105,08%;96,61%;72,88%;38,98%
251600 - Solânea;119,86%;105,42%;102,89%;99,64%;97,47%;102,17%;105,78%;119,86%;103,25%;106,86%;105,42%;101,08%;109,39%;106,14%;96,75%;100,36%;109,39%;92,78%;49,82%
251640 - Tacima;139,51%;86,42%;101,23%;86,42%;75,31%;102,47%;87,65%;140,74%;92,59%;88,89%;86,42%;95,06%;88,89%;85,19%;104,94%;93,83%;90,12%;102,47%;82,72%
Totais;103,68%;96,21%;98,19%;98,57%;88,52%;97,42%;96,10%;102,47%;96,43%;102,47%;96,26%;101,32%;103,02%;95,49%;97,97%;99,01%;100,71%;82,86%;42,47%
250380 - Caldas Brandão;113,04%;113,04%;136,23%;110,14%;105,80%;130,43%;113,04%;114,49%;104,35%;140,58%;113,04%;115,94%;134,78%;111,59%;127,54%;110,14%;134,78%;130,43%;75,36%
250640 - Gurinhém;113,53%;91,73%;102,26%;60,90%;77,44%;105,26%;91,73%;112,78%;99,25%;111,28%;90,98%;105,26%;109,02%;92,48%;106,02%;100,75%;97,74%;80,45%;34,59%
250680 - Ingá;92,79%;90,87%;78,85%;75,96%;79,81%;79,33%;90,87%;91,83%;96,63%;79,81%;90,87%;99,52%;80,29%;91,83%;76,44%;99,04%;78,37%;66,83%;57,69%
250690 - Itabaiana;96,31%;79,92%;90,57%;93,85%;81,15%;91,80%;79,51%;97,13%;79,51%;90,98%;79,92%;81,97%;92,21%;79,92%;95,90%;81,15%;92,62%;86,89%;49,59%
250720 - Itatuba;98,13%;117,76%;106,54%;145,79%;111,21%;103,74%;117,76%;93,46%;107,48%;105,61%;117,76%;116,82%;104,67%;116,82%;100,93%;110,28%;105,61%;99,07%;71,03%
250760 - Juarez Távora;93,94%;110,61%;124,24%;116,67%;107,58%;115,15%;110,61%;89,39%;96,97%;116,67%;110,61%;115,15%;119,70%;106,06%;130,30%;112,12%;128,79%;90,91%;77,27%
250790 - Juripiranga;101,61%;68,55%;81,45%;88,71%;66,13%;79,03%;69,35%;103,23%;74,19%;76,61%;68,55%;77,42%;76,61%;66,94%;76,61%;78,23%;75,00%;73,39%;21,77%
250940 - Mogeiro;96,69%;109,27%;112,58%;125,83%;88,08%;109,93%;109,27%;95,36%;103,31%;119,87%;109,27%;105,96%;119,87%;102,65%;115,89%;103,31%;113,91%;67,55%;22,52%
251120 - Pedras de Fogo;112,38%;92,06%;87,62%;88,57%;87,62%;86,98%;91,43%;109,21%;93,97%;99,05%;92,38%;98,41%;102,54%;93,02%;88,57%;95,87%;96,51%;71,11%;29,52%
251150 - Pilar;118,85%;98,36%;113,11%;90,98%;95,90%;112,30%;98,36%;117,21%;97,54%;105,74%;99,18%;102,46%;104,10%;98,36%;109,02%;100,00%;113,11%;111,48%;39,34%
251275 - Riachão do Bacamarte;100,00%;102,33%;100,00%;146,51%;95,35%;97,67%;102,33%;100,00%;125,58%;100,00%;102,33%;137,21%;102,33%;102,33%;100,00%;134,88%;97,67%;93,02%;48,84%
251310 - Salgado de São Félix;100,93%;107,41%;90,74%;119,44%;83,33%;93,52%;107,41%;100,00%;110,19%;100,00%;107,41%;115,74%;100,00%;107,41%;90,74%;114,81%;100,93%;71,30%;37,04%
251445 - São José dos Ramos;101,61%;109,68%;120,97%;120,97%;116,13%;124,19%;109,68%;101,61%;104,84%;137,10%;109,68%;100,00%;137,10%;106,45%;119,35%;96,77%;125,81%;101,61%;48,39%
251500 - São Miguel de Taipu;113,24%;117,65%;110,29%;88,24%;102,94%;105,88%;117,65%;111,76%;111,76%;130,88%;117,65%;116,18%;133,82%;117,65%;102,94%;113,24%;127,94%;89,71%;20,59%
Totais;109,23%;94,97%;90,72%;71,64%;84,87%;90,82%;95,08%;107,74%;96,31%;99,49%;95,03%;97,64%;98,62%;95,23%;93,28%;95,54%;98,87%;76,87%;44,26%
250140 - Baía da Traição;104,26%;90,07%;75,18%;76,60%;74,47%;75,18%;90,07%;100,00%;89,36%;82,98%;90,07%;93,62%;81,56%;90,78%;80,85%;85,82%;88,65%;68,09%;29,79%
250403 - Capim;111,11%;94,95%;110,10%;85,86%;74,75%;106,06%;94,95%;110,10%;88,89%;96,97%;94,95%;86,87%;100,00%;98,99%;115,15%;94,95%;110,10%;104,04%;71,72%
250523 - Cuité de Mamanguape;153,13%;96,88%;142,19%;57,81%;103,13%;139,06%;96,88%;150,00%;92,19%;132,81%;96,88%;98,44%;129,69%;96,88%;157,81%;87,50%;129,69%;117,19%;60,94%
250527 - Curral de Cima;123,21%;128,57%;116,07%;101,79%;112,50%;121,43%;126,79%;116,07%;114,29%;130,36%;128,57%;100,00%;130,36%;126,79%;119,64%;98,21%;126,79%;114,29%;105,36%
250710 - Itapororoca;125,23%;105,14%;85,05%;78,04%;97,66%;87,85%;104,21%;123,83%;105,61%;103,27%;104,67%;97,66%;99,53%;104,67%;91,59%;99,53%;100,47%;66,36%;39,72%
250730 - Jacaraú;93,98%;93,98%;101,81%;85,54%;98,80%;115,66%;94,58%;89,76%;96,39%;106,02%;94,58%;101,20%;106,02%;93,37%;107,23%;100,00%;106,63%;105,42%;52,41%
250890 - Mamanguape;94,20%;80,68%;77,13%;56,36%;66,67%;72,62%;80,68%;93,08%;85,83%;82,77%;80,68%;88,08%;82,77%;81,00%;74,24%;87,12%;79,23%;52,82%;28,66%
250905 - Marcação;103,70%;93,33%;94,81%;82,22%;91,85%;94,07%;92,59%;102,96%;91,85%;100,00%;93,33%;96,30%;107,41%;94,81%;106,67%;89,63%;107,41%;85,93%;43,70%
250930 - Mataraca;126,02%;106,50%;100,00%;68,29%;97,56%;105,69%;108,13%;126,83%;106,50%;120,33%;107,32%;106,50%;118,70%;104,88%;98,37%;104,07%;111,38%;87,80%;63,41%
251272 - Pedro Régis;112,96%;107,41%;112,96%;101,85%;109,26%;112,96%;109,26%;112,96%;120,37%;125,93%;107,41%;112,96%;124,07%;111,11%;114,81%;114,81%;125,93%;105,56%;75,93%
251290 - Rio Tinto;123,10%;108,30%;92,42%;72,56%;92,78%;91,70%;109,03%;123,47%;109,03%;110,83%;108,30%;115,88%;105,42%;107,94%;94,22%;110,47%;110,47%;84,84%;44,77%
;100,13%;86,90%;82,03%;80,60%;66,63%;70,97%;86,88%;99,37%;86,35%;90,04%;86,89%;91,03%;90,91%;86,91%;85,26%;87,27%;91,37%;67,20%;34,03%
;114,05%;82,03%;78,92%;78,67%;71,50%;70,78%;82,05%;113,96%;81,24%;84,10%;82,02%;87,44%;85,72%;82,05%;81,26%;84,93%;89,32%;72,98%;35,90%
Totais;135,05%;93,89%;94,64%;92,99%;83,66%;84,29%;94,01%;134,02%;95,34%;98,13%;93,89%;98,18%;96,61%;93,22%;90,55%;96,63%;98,53%;83,91%;40,96%
260110 - Araripina;154,41%;90,99%;91,46%;92,66%;81,80%;72,98%;90,90%;154,60%;91,83%;94,71%;90,99%;94,99%;93,22%;89,69%;88,49%;92,94%;93,50%;84,40%;32,59%
260200 - Bodocó;144,39%;89,02%;89,74%;78,04%;81,62%;76,37%;88,78%;143,91%;92,60%;95,70%;89,02%;89,74%;87,11%;89,02%;85,44%;98,57%;94,99%;78,28%;47,02%
260530 - Exu;159,86%;109,68%;104,66%;110,04%;101,08%;102,87%;109,68%;159,86%;116,49%;108,60%;109,68%;113,98%;107,53%;110,75%;105,02%;111,11%;116,49%;97,13%;55,56%
260630 - Granito;153,95%;107,89%;111,84%;118,42%;93,42%;111,84%;107,89%;150,00%;106,58%;105,26%;107,89%;105,26%;101,32%;105,26%;109,21%;105,26%;107,89%;110,53%;72,37%
260730 - Ipubi;130,02%;92,91%;93,62%;96,22%;85,58%;86,05%;93,62%;126,71%;94,80%;97,40%;92,91%;98,82%;98,58%;91,73%;89,36%;95,74%;102,36%;90,54%;41,61%
260990 - Ouricuri;113,80%;90,33%;98,01%;92,75%;77,10%;89,90%;90,33%;111,95%;92,03%;101,42%;90,33%;94,17%;99,57%;89,76%;92,60%;91,32%;100,57%;83,07%;42,11%
261040 - Parnamirim;115,20%;90,20%;81,86%;96,57%;77,94%;83,33%;90,69%;116,18%;94,12%;87,25%;90,20%;93,14%;88,24%;92,16%;78,43%;92,16%;85,29%;73,04%;45,10%
261245 - Santa Cruz;83,12%;95,45%;98,05%;91,56%;93,51%;102,60%;96,75%;79,87%;89,61%;108,44%;95,45%;92,21%;108,44%;95,45%;91,56%;87,01%;112,99%;89,61%;44,16%
261255 - Santa Filomena;111,20%;93,60%;92,80%;98,40%;88,80%;93,60%;93,60%;108,00%;93,60%;93,60%;93,60%;102,40%;96,80%;93,60%;86,40%;104,00%;93,60%;78,40%;60,80%
261430 - Moreilândia;143,64%;96,36%;95,45%;81,82%;90,00%;87,27%;96,36%;145,45%;97,27%;102,73%;96,36%;100,91%;102,73%;91,82%;96,36%;97,27%;105,45%;95,45%;49,09%
261560 - Trindade;130,52%;100,46%;98,41%;90,21%;82,23%;82,92%;100,68%;129,16%;99,54%;97,95%;100,46%;111,16%;97,72%;99,54%;90,89%;105,69%;94,99%;71,75%;27,79%
Totais;98,62%;73,27%;67,96%;68,77%;62,21%;59,33%;73,20%;99,06%;71,60%;74,46%;73,25%;80,30%;77,96%;73,74%;74,33%;77,22%;82,31%;63,90%;31,74%
260020 - Afrânio;109,23%;93,33%;92,82%;97,44%;83,59%;91,79%;92,82%;110,26%;92,82%;91,28%;93,33%;96,92%;91,28%;92,82%;90,77%;95,90%;93,33%;87,18%;55,90%
260300 - Cabrobó;103,03%;81,57%;86,87%;79,04%;76,01%;87,37%;81,57%;104,29%;83,08%;96,97%;81,82%;78,79%;96,97%;82,83%;88,38%;76,01%;104,55%;73,23%;40,66%
260515 - Dormentes;116,20%;101,68%;86,59%;96,65%;102,79%;87,15%;101,68%;117,88%;106,70%;102,23%;101,68%;102,23%;101,68%;102,79%;83,24%;102,23%;102,79%;88,27%;46,93%
260875 - Lagoa Grande;123,34%;107,32%;126,13%;96,52%;91,64%;98,61%;108,01%;122,65%;117,42%;115,68%;107,67%;121,25%;115,33%;107,67%;118,47%;118,47%;113,94%;108,71%;61,32%
260980 - Orocó;94,83%;87,36%;98,85%;99,43%;78,74%;100,57%;87,93%;93,10%;89,08%;90,80%;87,36%;98,28%;92,53%;87,93%;95,40%;97,13%;98,85%;89,08%;58,05%
261110 - Petrolina;93,01%;67,10%;59,18%;61,50%;55,16%;49,14%;66,93%;93,56%;63,70%;66,86%;67,03%;74,91%;71,34%;67,73%;68,51%;71,64%;76,18%;57,44%;26,69%
261260 - Santa Maria da Boa Vista;129,11%;88,28%;83,93%;88,28%;79,02%;83,55%;88,66%;128,54%;91,30%;89,98%;88,47%;93,38%;91,68%;86,77%;81,85%;89,41%;93,01%;71,83%;36,67%
Totais;128,50%;90,40%;87,30%;85,93%;81,40%;86,46%;90,52%;128,38%;87,95%;90,94%;90,40%;91,71%;92,19%;90,16%;88,07%;89,21%;96,72%;84,91%;41,20%
260160 - Belém do São Francisco;120,00%;83,75%;75,00%;92,92%;73,33%;78,75%;82,92%;122,50%;80,00%;86,67%;83,33%;82,92%;87,08%;82,50%;85,00%;80,42%;95,00%;76,67%;34,17%
260430 - Cedro;112,24%;123,47%;126,53%;105,10%;115,31%;127,55%;123,47%;111,22%;112,24%;130,61%;123,47%;103,06%;137,76%;123,47%;119,39%;102,04%;148,98%;120,41%;60,20%
260930 - Mirandiba;131,61%;95,98%;95,40%;90,23%;86,78%;93,10%;95,98%;130,46%;88,51%;96,55%;95,98%;89,66%;99,43%;97,13%;94,25%;84,48%;104,02%;91,38%;42,53%
261220 - Salgueiro;131,59%;85,90%;89,16%;79,24%;78,85%;86,16%;86,03%;131,20%;86,03%;89,16%;86,03%;92,30%;89,43%;85,77%;88,12%;90,21%;92,69%;85,64%;37,21%
261400 - Serrita;144,23%;93,75%;79,33%;89,90%;77,40%;78,85%;94,71%;143,27%;91,35%;82,21%;93,75%;96,15%;82,69%;92,79%;76,44%;92,31%;83,65%;72,60%;43,27%
261520 - Terra Nova;121,43%;93,88%;85,71%;95,92%;96,94%;83,67%;93,88%;121,43%;95,92%;90,82%;93,88%;103,06%;92,86%;93,88%;85,71%;101,02%;94,90%;96,94%;46,94%
261610 - Verdejante;108,60%;88,17%;66,67%;75,27%;69,89%;73,12%;89,25%;108,60%;81,72%;83,87%;88,17%;79,57%;87,10%;88,17%;79,57%;79,57%;96,77%;65,59%;59,14%
;119,18%;95,99%;94,82%;98,76%;84,74%;94,63%;95,88%;119,42%;94,80%;99,30%;95,99%;97,16%;100,07%;95,41%;94,71%;94,67%;100,78%;86,69%;41,75%
Totais;109,61%;96,92%;102,23%;97,66%;93,04%;102,92%;96,81%;109,51%;95,65%;103,24%;96,97%;97,98%;102,97%;96,81%;100,21%;97,24%;103,88%;100,32%;55,39%
260010 - Afogados da Ingazeira;135,41%;92,20%;94,43%;87,53%;87,31%;93,54%;91,98%;134,97%;90,20%;99,55%;92,20%;97,55%;99,11%;91,54%;98,89%;96,44%;97,55%;88,42%;36,97%
260250 - Brejinho;114,00%;88,00%;85,00%;101,00%;75,00%;86,00%;89,00%;114,00%;90,00%;86,00%;88,00%;92,00%;85,00%;89,00%;79,00%;93,00%;87,00%;87,00%;59,00%
260390 - Carnaíba;140,32%;89,78%;109,68%;110,75%;93,01%;112,90%;89,78%;139,78%;88,71%;106,99%;89,78%;89,78%;105,91%;89,78%;103,76%;88,71%;109,68%;112,37%;61,29%
260690 - Iguaracy;90,70%;86,05%;116,28%;123,26%;90,70%;117,44%;86,05%;91,86%;87,21%;110,47%;86,05%;77,91%;105,81%;86,05%;120,93%;74,42%;113,95%;109,30%;69,77%
260710 - Ingazeira;90,48%;130,95%;102,38%;128,57%;130,95%;102,38%;128,57%;88,10%;135,71%;109,52%;130,95%;130,95%;107,14%;130,95%;97,62%;130,95%;114,29%;102,38%;83,33%
260770 - Itapetim;104,84%;96,77%;116,13%;92,74%;97,58%;116,94%;95,97%;104,03%;94,35%;116,13%;96,77%;94,35%;116,94%;97,58%;105,65%;93,55%;119,35%;112,90%;71,77%
261153 - Quixaba;128,17%;104,23%;97,18%;76,06%;95,77%;97,18%;104,23%;128,17%;98,59%;104,23%;104,23%;104,23%;107,04%;104,23%;97,18%;100,00%;111,27%;92,96%;53,52%
261280 - Santa Terezinha;142,17%;127,71%;125,30%;116,87%;122,89%;126,51%;127,71%;140,96%;130,12%;124,10%;127,71%;128,92%;124,10%;126,51%;131,33%;128,92%;132,53%;131,33%;78,31%
