Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 Dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
220280 - Conceição do Canindé;102,13%;112,77%;106,38%;65,96%;117,02%;104,26%;112,77%;102,13%;102,13%;131,91%;112,77%;100,00%;125,53%;114,89%;104,26%;95,74%;129,79%;87,23%;112,77%
220385 - Floresta do Piauí;68,18%;95,45%;100,00%;109,09%;81,82%;100,00%;95,45%;63,64%;77,27%;104,55%;95,45%;100,00%;104,55%;95,45%;100,00%;100,00%;109,09%;100,00%;145,45%
220490 - Isaías Coelho;109,33%;114,67%;146,67%;136,00%;128,00%;144,00%;113,33%;110,67%;108,00%;148,00%;114,67%;112,00%;146,67%;114,67%;148,00%;110,67%;148,00%;138,67%;122,67%
220700 - Oeiras;73,32%;92,67%;90,63%;82,69%;84,11%;90,63%;92,46%;71,89%;92,46%;87,17%;92,67%;87,37%;86,76%;92,46%;90,84%;86,56%;89,82%;81,47%;84,93%
220937 - Santa Rosa do Piauí;53,45%;86,21%;86,21%;108,62%;63,79%;89,66%;86,21%;53,45%;75,86%;89,66%;86,21%;70,69%;91,38%;82,76%;86,21%;67,24%;84,48%;75,86%;74,14%
220950 - Santo Inácio do Piauí;55,56%;100,00%;102,78%;125,00%;75,00%;97,22%;100,00%;55,56%;102,78%;108,33%;100,00%;97,22%;111,11%;100,00%;100,00%;97,22%;136,11%;77,78%;105,56%
220965 - São Francisco de Assis do Piauí;96,30%;137,04%;150,00%;94,44%;105,56%;146,30%;137,04%;88,89%;120,37%;144,44%;137,04%;116,67%;144,44%;135,19%;146,30%;116,67%;153,70%;150,00%;150,00%
220995 - São João da Varjota;97,96%;79,59%;102,04%;85,71%;71,43%;104,08%;79,59%;93,88%;75,51%;83,67%;79,59%;83,67%;83,67%;79,59%;100,00%;81,63%;85,71%;97,96%;95,92%
221080 - Simplício Mendes;63,48%;128,09%;110,11%;72,47%;97,19%;111,80%;128,09%;65,17%;111,24%;110,11%;128,09%;113,48%;112,36%;129,21%;112,36%;103,93%;111,80%;94,38%;111,24%
221097 - Tanque do Piauí;27,59%;103,45%;110,34%;79,31%;75,86%;93,10%;103,45%;31,03%;103,45%;93,10%;103,45%;96,55%;93,10%;103,45%;96,55%;86,21%;86,21%;93,10%;82,76%
Totais;55,77%;103,38%;97,89%;83,68%;86,46%;95,98%;103,12%;63,41%;97,37%;100,41%;103,12%;99,02%;96,09%;104,36%;97,37%;96,16%;103,12%;80,97%;79,80%
220025 - Alagoinha do Piauí;84,21%;133,33%;129,82%;78,95%;128,07%;131,58%;133,33%;89,47%;124,56%;131,58%;133,33%;121,05%;133,33%;131,58%;124,56%;115,79%;135,09%;103,51%;101,75%
220027 - Alegrete do Piauí;54,55%;109,09%;123,64%;100,00%;98,18%;120,00%;109,09%;61,82%;112,73%;121,82%;109,09%;114,55%;107,27%;110,91%;125,45%;112,73%;109,09%;94,55%;114,55%
220095 - Aroeiras do Itaim;72,22%;133,33%;138,89%;144,44%;111,11%;127,78%;127,78%;77,78%;133,33%;94,44%;127,78%;144,44%;105,56%;144,44%;122,22%;138,89%;111,11%;127,78%;138,89%
220180 - Bocaina;29,73%;118,92%;110,81%;100,00%;64,86%;89,19%;118,92%;45,95%;102,70%;97,30%;118,92%;105,41%;97,30%;118,92%;100,00%;105,41%;100,00%;48,65%;81,08%
220213 - Campo Grande do Piauí;88,14%;125,42%;122,03%;57,63%;122,03%;120,34%;125,42%;98,31%;108,47%;135,59%;125,42%;100,00%;123,73%;127,12%;115,25%;98,31%;108,47%;88,14%;118,64%
220340 - Dom Expedito Lopes;88,73%;107,04%;104,23%;71,83%;94,37%;105,63%;107,04%;109,86%;101,41%;112,68%;107,04%;97,18%;114,08%;111,27%;104,23%;94,37%;112,68%;84,51%;84,51%
220420 - Francisco Santos;82,95%;121,59%;110,23%;77,27%;98,86%;103,41%;121,59%;94,32%;98,86%;106,82%;121,59%;96,59%;105,68%;125,00%;117,05%;93,18%;106,82%;84,09%;77,27%
220430 - Fronteiras;53,01%;132,53%;119,28%;112,05%;127,71%;130,12%;132,53%;56,63%;125,30%;143,37%;132,53%;118,07%;138,55%;132,53%;126,51%;116,87%;134,94%;109,64%;95,18%
220435 - Geminiano;34,33%;102,99%;111,94%;73,13%;74,63%;110,45%;102,99%;35,82%;89,55%;98,51%;102,99%;83,58%;88,06%;102,99%;105,97%;79,10%;105,97%;91,04%;68,66%
220480 - Ipiranga do Piauí;69,70%;115,15%;85,86%;74,75%;85,86%;88,89%;115,15%;74,75%;105,05%;91,92%;115,15%;118,18%;96,97%;116,16%;88,89%;115,15%;106,06%;69,70%;70,71%
220500 - Itainópolis;38,83%;122,33%;104,85%;69,90%;100,00%;100,97%;122,33%;46,60%;116,50%;124,27%;122,33%;111,65%;124,27%;119,42%;107,77%;110,68%;126,21%;103,88%;78,64%
220650 - Monsenhor Hipólito;27,10%;80,37%;84,11%;102,80%;82,24%;78,50%;80,37%;41,12%;85,98%;81,31%;80,37%;85,98%;80,37%;80,37%;86,92%;84,11%;79,44%;84,11%;68,22%
220755 - Paquetá;55,26%;128,95%;115,79%;92,11%;89,47%;86,84%;128,95%;65,79%;102,63%;113,16%;128,95%;107,89%;110,53%;121,05%;102,63%;107,89%;107,89%;97,37%;97,37%
220800 - Picos;52,18%;96,04%;91,57%;76,14%;75,33%;86,80%;95,63%;57,87%;90,56%;92,69%;95,63%;94,52%;88,93%;97,16%;88,83%;89,95%;99,29%;74,01%;74,01%
220820 - Pio IX;76,70%;107,77%;111,17%;82,52%;98,54%;108,74%;107,77%;79,13%;102,91%;111,17%;107,77%;98,06%;110,68%;108,25%;108,25%;97,09%;111,65%;96,60%;71,84%
220910 - Santa Cruz do Piauí;107,41%;92,59%;109,26%;111,11%;96,30%;111,11%;92,59%;107,41%;88,89%;98,15%;92,59%;90,74%;96,30%;96,30%;109,26%;88,89%;101,85%;98,15%;100,00%
220935 - Santana do Piauí;20,00%;82,50%;90,00%;122,50%;62,50%;92,50%;82,50%;32,50%;90,00%;82,50%;82,50%;102,50%;82,50%;80,00%;90,00%;100,00%;87,50%;90,00%;90,00%
220940 - Santo Antônio de Lisboa;36,36%;89,61%;77,92%;63,64%;72,73%;80,52%;89,61%;48,05%;77,92%;85,71%;89,61%;84,42%;84,42%;88,31%;83,12%;81,82%;85,71%;79,22%;76,62%
220985 - São João da Canabrava;24,59%;106,56%;73,77%;86,89%;95,08%;70,49%;106,56%;36,07%;98,36%;83,61%;106,56%;101,64%;86,89%;108,20%;68,85%;101,64%;85,25%;67,21%;65,57%
221020 - São José do Piauí;84,29%;87,14%;85,71%;104,29%;77,14%;104,29%;87,14%;94,29%;92,86%;105,71%;87,14%;97,14%;101,43%;87,14%;98,57%;95,71%;102,86%;75,71%;87,14%
221030 - São Julião;40,35%;129,82%;73,68%;78,95%;103,51%;78,95%;129,82%;50,88%;94,74%;92,98%;129,82%;98,25%;35,09%;142,11%;77,19%;98,25%;110,53%;56,14%;66,67%
221037 - São Luis do Piauí;60,00%;105,00%;150,00%;160,00%;90,00%;150,00%;105,00%;75,00%;125,00%;110,00%;105,00%;120,00%;100,00%;100,00%;150,00%;120,00%;150,00%;20,00%;95,00%
221093 - Sussuapara;40,78%;89,32%;74,76%;93,20%;69,90%;77,67%;87,38%;51,46%;97,09%;81,55%;87,38%;96,12%;71,84%;92,23%;80,58%;94,17%;78,64%;54,37%;53,40%
221150 - Vera Mendes;63,04%;91,30%;91,30%;95,65%;80,43%;110,87%;91,30%;71,74%;93,48%;102,17%;91,30%;97,83%;89,13%;89,13%;95,65%;97,83%;91,30%;60,87%;89,13%
221160 - Vila Nova do Piauí;31,82%;104,55%;168,18%;104,55%;104,55%;154,55%;104,55%;54,55%;86,36%;127,27%;104,55%;86,36%;118,18%;104,55%;168,18%;81,82%;127,27%;154,55%;159,09%
221170 - Wall Ferraz;38,89%;100,00%;88,89%;88,89%;102,78%;91,67%;100,00%;50,00%;105,56%;94,44%;100,00%;119,44%;91,67%;102,78%;88,89%;119,44%;94,44%;94,44%;130,56%
Totais;72,22%;108,57%;94,68%;83,45%;95,27%;100,20%;108,67%;74,19%;105,22%;101,87%;108,57%;103,35%;96,16%;108,08%;96,75%;102,46%;100,59%;86,11%;93,60%
220090 - Aroazes;40,43%;121,28%;95,74%;93,62%;97,87%;97,87%;121,28%;36,17%;112,77%;106,38%;121,28%;100,00%;106,38%;121,28%;89,36%;100,00%;104,26%;102,13%;80,85%
220117 - Barra D'Alcântara;48,15%;166,67%;170,37%;137,04%;148,15%;170,37%;162,96%;44,44%;137,04%;159,26%;166,67%;129,63%;166,67%;166,67%;177,78%;122,22%;159,26%;162,96%;170,37%
220350 - Elesbão Veloso;79,53%;122,05%;100,00%;81,89%;95,28%;103,15%;122,83%;81,89%;116,54%;108,66%;122,05%;116,54%;105,51%;116,54%;103,94%;116,54%;114,17%;107,09%;88,98%
220400 - Francinópolis;130,00%;180,00%;182,50%;80,00%;142,50%;177,50%;180,00%;130,00%;167,50%;155,00%;180,00%;150,00%;155,00%;180,00%;185,00%;145,00%;162,50%;160,00%;150,00%
220470 - Inhuma;85,33%;99,33%;91,33%;100,67%;82,00%;95,33%;99,33%;89,33%;97,33%;99,33%;99,33%;92,00%;96,00%;99,33%;94,67%;93,33%;100,67%;86,67%;95,33%
220559 - Lagoa do Sítio;53,85%;88,46%;82,69%;71,15%;75,00%;98,08%;88,46%;61,54%;82,69%;94,23%;88,46%;80,77%;90,38%;88,46%;94,23%;82,69%;100,00%;75,00%;117,31%
220690 - Novo Oriente do Piauí;58,57%;104,29%;72,86%;74,29%;81,43%;78,57%;105,71%;64,29%;111,43%;80,00%;104,29%;104,29%;82,86%;104,29%;78,57%;102,86%;88,57%;68,57%;75,71%
220810 - Pimenteiras;100,00%;99,02%;91,18%;80,39%;104,90%;111,76%;99,02%;96,08%;105,88%;124,51%;99,02%;109,80%;102,94%;99,02%;92,16%;107,84%;110,78%;81,37%;97,06%
220860 - Prata do Piauí;35,14%;100,00%;102,70%;64,86%;102,70%;97,30%;100,00%;35,14%;97,30%;105,41%;100,00%;97,30%;102,70%;100,00%;102,70%;91,89%;97,30%;100,00%;97,30%
220915 - Santa Cruz dos Milagres;55,56%;148,15%;111,11%;81,48%;114,81%;111,11%;148,15%;59,26%;140,74%;92,59%;148,15%;118,52%;92,59%;148,15%;111,11%;114,81%;96,30%;74,07%;100,00%
220960 - São Félix do Piauí;95,45%;81,82%;81,82%;81,82%;122,73%;113,64%;81,82%;95,45%;77,27%;95,45%;81,82%;90,91%;63,64%;81,82%;81,82%;90,91%;72,73%;86,36%;90,91%
221038 - São Miguel da Baixa Grande;94,74%;121,05%;89,47%;100,00%;94,74%;89,47%;121,05%;84,21%;115,79%;84,21%;121,05%;115,79%;78,95%;121,05%;89,47%;115,79%;84,21%;94,74%;84,21%
221130 - Valença do Piauí;68,46%;95,44%;85,48%;73,44%;90,46%;89,63%;95,44%;72,61%;92,12%;90,46%;95,44%;92,95%;82,16%;97,10%;85,89%;92,53%;84,23%;66,80%;78,42%
221140 - Várzea Grande;31,48%;103,70%;68,52%;88,89%;83,33%;66,67%;103,70%;33,33%;98,15%;75,93%;103,70%;111,11%;75,93%;100,00%;66,67%;109,26%;81,48%;50,00%;90,74%
Totais;86,67%;97,35%;102,65%;94,86%;90,76%;102,54%;97,29%;88,11%;98,84%;101,99%;97,29%;101,77%;99,89%;101,05%;102,82%;99,45%;104,87%;82,52%;78,15%
220005 - Acauã;108,54%;108,54%;146,34%;117,07%;118,29%;131,71%;108,54%;106,10%;107,32%;141,46%;108,54%;113,41%;137,80%;113,41%;141,46%;112,20%;139,02%;121,95%;95,12%
220157 - Belém do Piauí;65,63%;68,75%;112,50%;65,63%;75,00%;118,75%;68,75%;75,00%;75,00%;103,13%;68,75%;78,13%;100,00%;68,75%;125,00%;78,13%;106,25%;121,88%;106,25%
220173 - Betânia do Piauí;100,00%;95,45%;103,64%;89,09%;89,09%;91,82%;95,45%;98,18%;93,64%;91,82%;95,45%;107,27%;90,91%;98,18%;97,27%;101,82%;100,00%;88,18%;74,55%
220209 - Caldeirão Grande do Piauí;66,18%;104,41%;123,53%;91,18%;102,94%;122,06%;104,41%;82,35%;100,00%;114,71%;104,41%;102,94%;110,29%;104,41%;119,12%;102,94%;108,82%;130,88%;110,29%
220255 - Caridade do Piauí;101,35%;94,59%;112,16%;86,49%;93,24%;110,81%;94,59%;104,05%;112,16%;110,81%;94,59%;110,81%;106,76%;98,65%;109,46%;102,70%;98,65%;97,30%;81,08%
220327 - Curral Novo do Piauí;118,48%;107,61%;117,39%;88,04%;98,91%;115,22%;107,61%;116,30%;102,17%;109,78%;107,61%;103,26%;106,52%;109,78%;114,13%;102,17%;113,04%;78,26%;86,96%
220415 - Francisco Macedo;100,00%;85,37%;75,61%;82,93%;78,05%;75,61%;85,37%;104,88%;87,80%;70,73%;85,37%;75,61%;70,73%;85,37%;75,61%;75,61%;73,17%;92,68%;80,49%
220515 - Jacobina do Piauí;77,50%;86,25%;80,00%;82,50%;82,50%;78,75%;86,25%;85,00%;91,25%;78,75%;86,25%;88,75%;78,75%;96,25%;76,25%;83,75%;93,75%;47,50%;70,00%
220520 - Jaicós;72,33%;102,43%;99,03%;102,91%;90,29%;105,34%;101,94%;73,79%;96,12%;100,00%;101,94%;96,12%;99,51%;106,31%;101,94%;94,66%;114,08%;69,90%;81,55%
220595 - Marcolândia;84,56%;141,18%;133,82%;100,74%;125,00%;138,97%;141,18%;91,18%;136,76%;138,97%;141,18%;151,47%;141,91%;147,06%;132,35%;147,79%;138,24%;120,59%;87,50%
220605 - Massapê do Piauí;123,73%;113,56%;86,44%;79,66%;91,53%;88,14%;113,56%;128,81%;91,53%;93,22%;113,56%;101,69%;91,53%;105,08%;86,44%;101,69%;147,46%;32,20%;86,44%
220720 - Padre Marcos;95,89%;86,30%;132,88%;98,63%;91,78%;130,14%;86,30%;106,85%;87,67%;112,33%;86,30%;84,93%;109,59%;86,30%;132,88%;87,67%;110,96%;127,40%;113,70%
220777 - Patos do Piauí;47,73%;129,55%;125,00%;152,27%;122,73%;129,55%;129,55%;63,64%;113,64%;125,00%;129,55%;140,91%;131,82%;129,55%;118,18%;138,64%;143,18%;125,00%;90,91%
220780 - Paulistana;63,79%;70,69%;71,18%;73,15%;62,07%;71,18%;70,69%;58,87%;81,28%;73,15%;70,69%;80,30%;68,72%;78,08%;75,37%;77,34%;69,95%;49,01%;56,65%
220865 - Queimada Nova;85,71%;111,22%;115,31%;131,63%;110,20%;116,33%;111,22%;81,63%;117,35%;114,29%;111,22%;110,20%;115,31%;119,39%;115,31%;110,20%;119,39%;75,51%;88,78%
221070 - Simões;117,87%;103,38%;108,70%;112,08%;98,07%;110,63%;103,38%;118,84%;106,76%;118,36%;103,38%;112,56%;113,53%;102,42%;110,14%;110,14%;109,66%;96,14%;66,18%
;66,18%;88,59%;85,40%;72,30%;74,61%;87,80%;88,46%;64,27%;87,96%;90,08%;88,49%;90,15%;88,76%;89,63%;83,39%;87,20%;90,56%;64,42%;78,66%
Totais;90,32%;100,84%;100,66%;94,17%;92,25%;100,54%;100,66%;93,15%;98,98%;99,28%;100,66%;100,66%;98,56%;101,20%;98,14%;99,22%;98,86%;86,84%;89,24%
220105 - Assunção do Piauí;85,39%;67,42%;83,15%;92,13%;71,91%;85,39%;67,42%;92,13%;75,28%;80,90%;67,42%;69,66%;82,02%;67,42%;77,53%;69,66%;93,26%;59,55%;78,65%
220177 - Boa Hora;57,30%;84,27%;87,64%;88,76%;70,79%;86,52%;84,27%;65,17%;80,90%;91,01%;84,27%;82,02%;92,13%;84,27%;84,27%;79,78%;88,76%;83,15%;100,00%
220194 - Boqueirão do Piauí;69,14%;125,93%;88,89%;93,83%;102,47%;86,42%;125,93%;74,07%;120,99%;88,89%;125,93%;122,22%;90,12%;124,69%;85,19%;123,46%;92,59%;79,01%;72,84%
220202 - Buriti dos Montes;68,52%;155,56%;150,00%;109,26%;151,85%;151,85%;155,56%;68,52%;166,67%;140,74%;155,56%;159,26%;142,59%;155,56%;148,15%;161,11%;146,30%;137,04%;146,30%
220205 - Cabeceiras do Piauí;36,79%;103,77%;98,11%;108,49%;82,08%;85,85%;103,77%;38,68%;101,89%;94,34%;103,77%;98,11%;96,23%;103,77%;89,62%;97,17%;96,23%;75,47%;78,30%
220220 - Campo Maior;102,50%;101,73%;95,38%;77,88%;85,77%;97,31%;101,35%;104,62%;98,65%;94,23%;101,35%;99,42%;93,46%;101,15%;94,04%;96,54%;91,15%;80,77%;79,04%
220260 - Castelo do Piauí;112,86%;115,24%;110,95%;129,52%;106,19%;112,38%;115,24%;116,67%;106,67%;114,76%;115,24%;107,62%;111,43%;116,19%;109,05%;106,67%;114,76%;105,24%;95,71%
220271 - Cocal de Telha;46,15%;109,62%;115,38%;80,77%;101,92%;111,54%;109,62%;53,85%;98,08%;111,54%;109,62%;123,08%;113,46%;115,38%;115,38%;123,08%;109,62%;94,23%;92,31%
220527 - Jatobá do Piauí;81,82%;79,55%;100,00%;109,09%;70,45%;86,36%;79,55%;88,64%;81,82%;104,55%;79,55%;97,73%;106,82%;86,36%;95,45%;100,00%;97,73%;86,36%;86,36%
220551 - Juazeiro do Piauí;111,32%;81,13%;111,32%;88,68%;88,68%;105,66%;81,13%;115,09%;83,02%;83,02%;81,13%;90,57%;84,91%;79,25%;98,11%;88,68%;94,34%;83,02%;137,74%
220675 - Nossa Senhora de Nazaré;87,23%;85,11%;95,74%;85,11%;95,74%;93,62%;85,11%;89,36%;82,98%;100,00%;85,11%;76,60%;100,00%;82,98%;91,49%;76,60%;97,87%;87,23%;78,72%
220695 - Novo Santo Antônio;66,67%;116,67%;137,50%;66,67%;108,33%;145,83%;116,67%;66,67%;112,50%;129,17%;116,67%;129,17%;125,00%;116,67%;141,67%;125,00%;125,00%;116,67%;129,17%
220990 - São João da Serra;122,41%;115,52%;112,07%;118,97%;96,55%;117,24%;115,52%;118,97%;106,90%;94,83%;115,52%;117,24%;96,55%;115,52%;110,34%;113,79%;91,38%;103,45%;100,00%
221040 - São Miguel do Tapuio;97,35%;83,44%;88,74%;91,39%;101,99%;96,03%;82,78%;97,35%;86,75%;98,01%;82,78%;83,44%;90,07%;86,09%;90,73%;83,44%;89,40%;72,85%;80,79%
221065 - Sigefredo Pacheco;93,02%;93,02%;112,79%;91,86%;87,21%;105,81%;93,02%;94,19%;98,84%;105,81%;93,02%;106,98%;108,14%;93,02%;110,47%;103,49%;113,95%;103,49%;100,00%
Totais;63,71%;87,33%;83,83%;70,05%;72,80%;86,49%;87,21%;61,31%;86,83%;89,14%;87,24%;89,07%;87,76%;88,44%;81,88%;85,97%;89,71%;62,13%;77,58%
220010 - Agricolândia;57,14%;111,11%;126,98%;76,19%;98,41%;111,11%;111,11%;47,62%;101,59%;112,70%;111,11%;101,59%;117,46%;111,11%;117,46%;100,00%;115,87%;106,35%;119,05%
220020 - Água Branca;40,66%;97,93%;80,08%;67,22%;74,27%;79,25%;97,93%;39,42%;84,23%;83,40%;97,93%;86,31%;83,40%;100,00%;75,10%;85,48%;86,72%;63,07%;64,32%
220030 - Alto Longá;57,38%;134,43%;109,02%;112,30%;112,30%;112,30%;134,43%;53,28%;127,87%;114,75%;134,43%;123,77%;111,48%;136,07%;112,30%;125,41%;108,20%;60,66%;93,44%
220040 - Altos;89,37%;98,08%;94,95%;69,86%;93,03%;101,92%;97,74%;91,29%;95,99%;106,79%;98,08%;100,17%;100,35%;97,74%;90,07%;92,16%;94,25%;76,83%;81,36%
220050 - Amarante;106,49%;105,63%;104,33%;72,29%;96,97%;109,52%;105,63%;94,37%;106,49%;108,66%;105,63%;113,42%;99,57%;108,23%;100,00%;108,23%;108,23%;106,49%;140,26%
220060 - Angical do Piauí;43,01%;83,87%;84,95%;74,19%;64,52%;79,57%;83,87%;45,16%;88,17%;87,10%;83,87%;81,72%;88,17%;84,95%;77,42%;78,49%;86,02%;79,57%;72,04%
220140 - Barro Duro;27,78%;96,30%;140,74%;75,93%;88,89%;118,52%;96,30%;25,93%;100,00%;112,96%;96,30%;100,00%;112,96%;92,59%;124,07%;92,59%;120,37%;122,22%;100,00%
220160 - Beneditinos;108,25%;141,24%;106,19%;102,06%;112,37%;101,03%;141,24%;106,19%;131,96%;113,40%;141,24%;128,87%;111,34%;141,24%;106,19%;123,71%;113,40%;111,34%;95,88%
220273 - Coivaras;65,31%;100,00%;112,24%;104,08%;89,80%;110,20%;100,00%;65,31%;110,20%;110,20%;100,00%;104,08%;108,16%;100,00%;106,12%;100,00%;116,33%;106,12%;108,16%
220325 - Curralinhos;115,09%;118,87%;145,28%;105,66%;128,30%;145,28%;118,87%;111,32%;107,55%;137,74%;118,87%;111,32%;139,62%;118,87%;143,40%;111,32%;137,74%;135,85%;122,64%
220330 - Demerval Lobão;104,98%;125,31%;108,30%;82,57%;110,79%;111,62%;125,31%;107,05%;122,41%;116,60%;125,31%;122,41%;112,86%;124,90%;107,47%;119,09%;114,52%;97,93%;94,61%
220460 - Hugo Napoleão;75,68%;132,43%;113,51%;118,92%;118,92%;83,78%;132,43%;67,57%;121,62%;102,70%;132,43%;127,03%;102,70%;129,73%;81,08%;121,62%;110,81%;75,68%;72,97%
220525 - Jardim do Mulato;26,19%;114,29%;126,19%;85,71%;104,76%;121,43%;114,29%;28,57%;104,76%;119,05%;114,29%;121,43%;123,81%;114,29%;116,67%;114,29%;123,81%;119,05%;92,86%
220550 - José de Freitas;74,82%;92,25%;88,20%;64,26%;75,35%;84,86%;92,25%;75,35%;91,20%;91,73%;92,25%;91,90%;90,49%;92,25%;84,86%;89,26%;92,25%;56,51%;85,04%
220554 - Lagoinha do Piauí;83,33%;123,33%;126,67%;83,33%;90,00%;120,00%;123,33%;80,00%;133,33%;106,67%;123,33%;126,67%;103,33%;136,67%;116,67%;126,67%;130,00%;73,33%;150,00%
220555 - Lagoa Alegre;82,47%;123,71%;103,09%;84,54%;117,53%;104,12%;123,71%;80,41%;126,80%;108,25%;123,71%;116,49%;109,28%;124,74%;104,12%;112,37%;114,43%;90,72%;116,49%
220558 - Lagoa do Piauí;80,00%;132,73%;114,55%;74,55%;107,27%;114,55%;132,73%;85,45%;127,27%;116,36%;132,73%;125,45%;114,55%;132,73%;110,91%;123,64%;121,82%;34,55%;105,45%
220620 - Miguel Alves;94,55%;98,59%;83,84%;63,23%;69,90%;85,05%;97,78%;89,70%;92,32%;94,95%;98,18%;96,16%;88,89%;98,59%;82,83%;94,34%;91,11%;59,80%;84,24%
220630 - Miguel Leão;47,37%;94,74%;94,74%;110,53%;73,68%;89,47%;94,74%;47,37%;84,21%;89,47%;94,74%;94,74%;89,47%;100,00%;100,00%;84,21%;105,26%;10,53%;68,42%
220640 - Monsenhor Gil;62,93%;104,31%;87,93%;101,72%;70,69%;93,97%;104,31%;60,34%;86,21%;87,93%;104,31%;93,10%;81,90%;103,45%;83,62%;93,10%;86,21%;68,10%;95,69%
220672 - Nazária;23,97%;50,41%;61,16%;49,59%;41,32%;59,50%;48,76%;24,79%;48,76%;55,37%;48,76%;48,76%;47,11%;50,41%;58,68%;54,55%;40,50%;45,45%;54,55%
220710 - Olho D'Água do Piauí;54,84%;106,45%;154,84%;103,23%;103,23%;138,71%;106,45%;41,94%;103,23%;129,03%;106,45%;96,77%;122,58%;106,45%;145,16%;93,55%;135,48%;125,81%;109,68%
220750 - Palmeirais;106,41%;110,26%;113,46%;69,87%;84,62%;131,41%;110,26%;98,72%;100,64%;127,56%;110,26%;104,49%;111,54%;108,97%;113,46%;96,15%;112,82%;86,54%;101,28%
220775 - Passagem Franca do Piauí;48,94%;74,47%;85,11%;91,49%;44,68%;80,85%;74,47%;38,30%;85,11%;74,47%;74,47%;85,11%;78,72%;82,98%;72,34%;76,60%;61,70%;38,30%;78,72%
220779 - Pau D'Arco do Piauí;43,86%;119,30%;66,67%;61,40%;82,46%;75,44%;119,30%;36,84%;87,72%;84,21%;119,30%;96,49%;87,72%;119,30%;70,18%;94,74%;87,72%;57,89%;80,70%
220880 - Regeneração;79,28%;80,48%;81,67%;51,00%;70,12%;74,50%;80,48%;74,50%;83,27%;79,28%;80,48%;84,46%;78,09%;82,47%;73,31%;82,47%;82,47%;59,36%;65,74%
220945 - Santo Antônio dos Milagres;72,73%;72,73%;48,48%;51,52%;48,48%;39,39%;72,73%;75,76%;87,88%;48,48%;72,73%;81,82%;51,52%;72,73%;42,42%;81,82%;54,55%;3,03%;30,30%
220980 - São Gonçalo do Piauí;37,50%;127,08%;118,75%;120,83%;87,50%;112,50%;127,08%;35,42%;118,75%;118,75%;127,08%;125,00%;116,67%;127,08%;118,75%;110,42%;127,08%;14,58%;102,08%
221050 - São Pedro do Piauí;77,38%;100,60%;107,74%;80,95%;93,45%;98,81%;99,40%;77,38%;91,07%;98,81%;99,40%;97,02%;103,57%;103,57%;104,17%;89,88%;106,55%;87,50%;84,52%
221100 - Teresina;58,89%;81,22%;79,79%;68,68%;68,08%;83,36%;81,15%;56,41%;82,42%;85,63%;81,15%;84,30%;85,24%;82,53%;78,38%;81,29%;86,88%;60,50%;74,24%
221110 - União;56,69%;102,55%;77,87%;69,90%;76,91%;82,80%;102,23%;54,14%;95,06%;84,87%;102,23%;105,89%;78,50%;103,34%;78,66%;104,62%;89,49%;16,08%;65,45%
;78,14%;92,16%;89,45%;74,00%;82,50%;91,50%;92,06%;85,65%;90,91%;93,14%;92,05%;92,45%;90,65%;93,90%;85,75%;89,29%;92,86%;66,96%;82,54%
Totais;69,15%;96,58%;95,58%;79,35%;87,68%;97,33%;96,45%;76,10%;94,77%;97,73%;96,43%;95,79%;94,16%;97,50%;91,78%;93,39%;95,49%;76,58%;89,22%
220120 - Barras;34,72%;91,67%;85,19%;77,16%;72,22%;83,80%;91,67%;37,04%;87,81%;86,88%;91,67%;88,58%;83,95%;91,82%;79,01%;86,73%;87,65%;67,28%;84,26%
220150 - Batalha;83,28%;77,70%;86,89%;83,93%;78,69%;89,51%;77,70%;85,25%;74,10%;92,79%;77,70%;77,05%;86,56%;77,70%;74,10%;76,72%;91,80%;75,74%;115,08%
220196 - Brasileira;39,42%;65,38%;73,08%;89,42%;72,12%;76,92%;63,46%;41,35%;57,69%;83,65%;63,46%;55,77%;86,54%;68,27%;76,92%;55,77%;84,62%;65,38%;61,54%
220217 - Campo Largo do Piauí;73,96%;102,08%;103,13%;76,04%;84,38%;92,71%;102,08%;67,71%;94,79%;88,54%;102,08%;95,83%;89,58%;101,04%;93,75%;94,79%;93,75%;83,33%;68,75%
220240 - Capitão de Campos;89,57%;116,52%;125,22%;89,57%;129,57%;157,39%;116,52%;95,65%;116,52%;163,48%;116,52%;106,09%;125,22%;113,91%;113,91%;103,48%;124,35%;84,35%;75,65%
220342 - Domingos Mourão;34,04%;123,40%;117,02%;136,17%;108,51%;110,64%;123,40%;59,57%;123,40%;117,02%;123,40%;114,89%;117,02%;123,40%;114,89%;114,89%;117,02%;123,40%;161,70%
220370 - Esperantina;96,26%;95,61%;97,07%;69,11%;94,80%;99,84%;95,77%;96,59%;97,07%;99,19%;95,61%;96,10%;93,01%;96,75%;98,05%;94,31%;97,24%;77,24%;92,03%
220540 - Joaquim Pires;104,57%;117,14%;106,29%;70,86%;121,14%;116,00%;117,14%;101,71%;115,43%;130,86%;117,14%;113,14%;112,57%;119,43%;101,71%;111,43%;103,43%;73,71%;92,00%
